Question,Answer
"
Какие банковские карты я могу подключить к услуге «Автоплатеж»? 
","
К услуге можно подключить карты международных платежных систем, выпущенные российскими банками:
VISA — все типы карт,
MasterCard — все, кроме MasterCard Electronic.
"
"
Сколько карт я могу подключить к услуге? 
","
К сервису «Автоплатеж» можно подключить неограниченное количество банковских карт, однако средства будут списываться только с «основной» карты. Все остальные играют вспомогательную роль — любую из подключенных карт можно перевести в статус «основной», например, в том случае, если на первой закончились деньги.
Важно! Если на карту «Тройка» уже настроен Автоплатеж, то настроить еще один не получится.
"
"
Могу ли я подключить услугу для нескольких карт «Тройка» на одну банковскую карту? 
","
Да, возможно подключить несколько карт «Тройка» к сервису «Автоплатеж».
Важно! При подключении услуги обращайте внимание на ограничения по суммам платежей с банковской карты (разовому, дневному, недельному и месячному), а также на количество списаний с банковской карты.
"
"
Могу ли я подключить услугу для одной карты «Тройка», но на несколько банковских карт? 
","
В рамках сервиса «Автоплатеж» можно подключить несколько банковских карт, но средства будут списываться только с той банковской карты, которая указана как «основная». Любую из подключенных карт можно перевести в статус «основной», например, в том случае, если на первой закончились деньги.
"
"
Сохраняется ли история моих платежей в рамках подключенной услуги? 
","
Да, в личном кабинете в основном меню можно просмотреть историю всех успешных платежей в рамках подключенной услуги.
"
"
Как я узнаю, что моя карта «Тройка» пополнилась? Придет ли мне оповещение о поступлении платежа? 
","
В случае поступления платежа приходит СМС — уведомление: «Сформировано удаленное пополнение для карты (номер карты) на сумму (XX.XX) ₽ Платеж необходимо активировать, информация на сайте troika.mos.ru. Комиссия 0.00 ₽», где ХХ.ХХ сумма платежа, которая настроена при подключении услуги.
"
"
Средства списаны с банковской карты, но не зачислены на баланс карты «Тройка» 
","
Если проверка баланса карты «Тройка» подтверждает, что платеж не поступил, необходимо обратиться по телефону горячей линии 8-800-555-3115.
"
"
Почему не удалось подключить банковскую карту? 
","
Возможно, подключаемая карта не поддерживает технологию 3D Secure. Уточнить эту информацию можно в банке-эмитенте карты.
"
"
На форме настройки «Автоплатеж» ввел некорректные реквизиты банковской карты. Что делать? 
","
На Форме ввода реквизитов банковской карты отображается уведомление об ошибке. Рекомендуется осуществить ввод корректных реквизитов банковской карты.
"
"
С чем может быть связан отказ в пополнении баланса? 
","
В случае, если имеется удаленное пополнение, не хватает денежных средств на банковской карте и т.д. Для уточнения необходимо обратиться по телефону горячей линии 8-800-555-3115.
"
"
Где можно записать абонемент на пригородный поезд на карту «Тройка»? 
","
Для того чтобы воспользоваться картой «Тройка» для оплаты проезда на электричке, необходимо записать абонемент на карту в кассах пригородного сообщения на железнодорожных вокзалах г. Москвы, пригородных железнодорожных станциях, в билетных автоматах.
Приобрести карту можно на следующих остановочных пунктах: Казанский вокзал», «Электрозаводская», «Новая», «Выхино», «Ярославский вокзал», «Курский вокзал», «Каланчевская», «Текстильщики», «Царицыно», «Серп и Молот», «Новогиреево», «Киевский вокзал», «Москва Павелецкая», «Нижние котлы», «Коломенская», «Рижский вокзал», «Тушино», «Белорусский вокзал», «Беговая», «Фили», «Кунцево», «Савеловский вокзал», «Тимирязевская», а также в любой кассе метрополитена.
Для того, чтобы карта «Тройка» действовала на поездах пригородного сообщения, необходимо записать билет на электропоезд на карту. Лежащие на балансе деньги не будут списываться с карты в качестве оплаты проезда на пригородных поездах.
"
"
Как турникеты на железнодорожных станциях будут понимать, до какой станции я еду? 
","
Турникеты на пригородных железнодорожных станциях будут распознавать информацию об абонементе на пригородный поезд, записанную на вашу карту. Фактически «Тройка» в этом случае играет роль носителя билета.
При отсутствии на пригородной железнодорожной станции турникетов и, соответственно, невозможности провалидировать записанный на карту «Тройка» абонементный билет, достаточно, что его проверят в салоне подвижного состава кассиры–контролеры. Если абонементный билет на карте «Тройка» не был провалидирован через турникет на вход, то турникет на выход на станции прибытия пропустит по такому билету.
"
"
Действует ли задержка второго прохода на электричку по абонементу, записанному на карту  «Тройка»? 
","
Да. Повторно воспользоваться абонементом на электричку, записанным на карту «Тройка», в том же направлении можно только через 40 минут.
"
"
Можно записать на карту «Тройка»  сразу несколько видов абонементов на пригородные поезда? 
","
На карту «Тройка» можно записать сразу два абонемента с различными сроками действия или маршрутами следования.
Проверить записанные абонементы на пригородные поезда можно в кассах ЦППК, МТППК и билетопечатающих автоматах. Контролер электропоезда может проверить записанный̆ на карту «Тройка» абонемент на переносном кассовом терминале.
"
"
Можно ли записать билет на пригородный поезд на карту «Тройка» предварительно? 
","
Пассажир имеет право записать абонементный билет предварительно за 30 дней.
Проверить записанные абонементы на пригородные поезда можно в кассах ЦППК, МТППК и билетопечатающих автоматах. Контролер электропоезда может проверить записанный̆ на карту «Тройка» абонемент на переносном кассовом терминале.
"
"
Как проверить записанный на карту «Тройка» абонемент на электричку, срок  его действия? 
","
Проверить записанные абонементы на пригородные поезда можно в кассах ЦППК, МТППК и билетопечатающих автоматах. Контролер электропоезда может проверить записанный на карту «Тройка» абонемент на переносном кассовом терминале.
"
"
Куда обращаться пассажирам с вопросом о неработающих картах с записанными абонементами на пригородные электрички? 
","
Неисправные карты принимают в трех центрах – Курский (касса №54 Горьковское направление), Белорусский̆ (касса №31) и Ярославский вокзалы (касса №1).
"
"
Можно ли  вернуть билет на пригородный поезд, записанный на карту «Тройка»? 
","
Аннулирование (возврат) абонементных билетов для проезда на пригородных железнодорожных поездах, записанных на карту «Тройка», осуществляется только в случае увольнения, смены места жительства, болезни, и ряде других случаев и при предъявлении заявления и соответствующих документов.
Для аннулирования (возврата) абонементных билетов необходимо обратится в любую кассу той железнодорожной станции (вокзала), где абонементный билет был записан.
"
"
Можно записать на карту «Тройка» студенческий абонемент?  Детский билет? 
","
Вы не можете записать на карту студенческий̆ абонемент – он записывается на специализированные студенческие карты (Индивидуальная транспортная карта, карта студента). Также нельзя записать на карту разовый̆ детский̆ билет (детских абонементных билетов не существует).
"
"
Как оплачивать картой «Тройка» билет при поездке из области в Москву, если я живу на маленькой станции и там только касса и нет никаких турникетов? 
","
Проверить записанные абонементы на пригородные поезда можно в кассах ЦППК, МТППК и билетопечатающих автоматах. Контролер электропоезда может проверить записанный̆ на карту «Тройку» абонемент на переносном кассовом терминале.
"
"
Можно на средства, лежащие на балансе карты, записать абонемент на электричку? 
","
Средства, уже находящиеся на балансе карты, нельзя конвертировать в абонемент.
"
"
Чтобы пользоваться картой «Тройка» на пригородных поездах, я обязательно должен записать какой-то абонемент на нее?  Лежащих на балансе денег недостаточно? 
","
Для того, чтобы карта «Тройка» действовала на поездах пригородного сообщения, необходимо записать билет на электропоезд на карту. Лежащие на балансе деньги не будут списываться с карты в качестве оплаты проезда на пригородных поездах.
"
"
Сколько стоит карта «Тройка» и какой срок её действия? 
","
Карта «Тройка» бесплатная. Приобретая карту, пассажир оставляет в кассе залоговую стоимость в размере 80 ₽, которая подлежит возмещению в случае возврата исправной карты «Тройка». Залог за карту «Тройка» можно вернуть в кассе метрополитена, монорельсовой транспортной системы, в специализированных пунктах продажи билетов Мосгортранса, а также в кассе ЦППК, МЦК.
Карта «Тройка» вечная. А вот деньги, которые на ней лежат, можно использовать в течение пяти лет с момента последнего прохода через турникет или пополнения.
"
"
Какие тарифы есть на карте «Тройка»? 
","
Тарифы «Тройки» (билет «Кошелек» согласно ПП 880 в редакции ПП №1873) – тарифы на проезд на наземном городском пассажирском транспорте общего пользования города Москвы, Московском метрополитене (включая Монорельсовую транспортную систему), а также на МЦК, зоне «Центральная» МЦД и зоне «Пригород» МЦД по установленным тарифам в пределах уплаченной суммы, списываемые с билета «Кошелек» карты «Тройка»:

Поездка на метро, монорельсе, МЦК, МЦД в зоне «Центральная» — 50 ₽;
Поездка на метро, монорельсе, МЦК, МЦД в зоне «Пригород» — 65 ₽;
Поездка на наземном транспорте — 50 ₽;
Одна поездка на метро, монорельсе, МЦК и МЦД в зоне «Центральная» и неограниченное количество пересадок на наземном транспорте в течение 90 минут (тариф «90 минут») — 75 ₽.

При этом деньги, уже находящиеся на балансе билета «Кошелек», нельзя конвертировать в билет.
"
"
Какие тарифы действуют на карте «Стрелка» при пересечении разных зон оплаты? 
","






30 дней


Сколько зон  пересекаете
Расстояние (км)
Первые  10 поездок
11–20
21–30
31–40
41–50
51 и более




По городу  (в пределах одной зоны)
До 5,0


                36,74 ₽
              



                34,17 ₽
              



                31,60 ₽
              



                29,02 ₽
              



                26,45 ₽
              



                23,88 ₽
              



2
Свыше 5,0 до 7,5


                41,39 ₽
              



                38,49 ₽
              



                35,60 ₽
              



                32,70 ₽
              



                29,80 ₽
              



                26,90 ₽
              



3
Свыше 7,5 до 10,0


                46,03 ₽
              



                42,81 ₽
              



                39,59 ₽
              



                36,36 ₽
              



                33,14 ₽
              



                29,92 ₽
              



4
Свыше 10,0 до 12,5


                50,67 ₽
              



                47,12 ₽
              



                43,58 ₽
              



                40,03 ₽
              



                36,48 ₽
              



                32,94 ₽
              



5
Свыше 12,5 до 15,0


                55,32 ₽
              



                51,45 ₽
              



                47,58 ₽
              



                43,70 ₽
              



                39,83 ₽
              



                35,96 ₽
              



6
Свыше 15,0 до 17,5


                59,96 ₽
              



                55,76 ₽
              



                51,57 ₽
              



                47,37 ₽
              



                43,17 ₽
              



                38,97 ₽
              



7
Свыше 17,5 до 20,0


                64,60 ₽
              



                60,08 ₽
              



                55,56 ₽
              



                51,03 ₽
              



                46,51 ₽
              



                41,99 ₽
              



8
Свыше 20,0 до 22,5


                69,25 ₽
              



                64,40 ₽
              



                59,56 ₽
              



                54,71 ₽
              



                49,86 ₽
              



                45,01 ₽
              



9
Свыше 22,5 до 25,0


                73,90 ₽
              



                68,73 ₽
              



                63,55 ₽
              



                58,38 ₽
              



                53,21 ₽
              



                48,04 ₽
              



10
Свыше 25,0 до 27,5


                78,54 ₽
              



                73,04 ₽
              



                67,54 ₽
              



                62,05 ₽
              



                56,55 ₽
              



                51,05 ₽
              



11
Свыше 27,5 до 30,0


                83,18 ₽
              



                77,36 ₽
              



                71,53 ₽
              



                65,71 ₽
              



                59,89 ₽
              



                54,07 ₽
              



12
Свыше 30,0 до 32,5


                87,82 ₽
              



                81,67 ₽
              



                75,53 ₽
              



                69,38 ₽
              



                63,23 ₽
              



                57,08 ₽
              



13
Свыше 32,5 до 35,0


                92,46 ₽
              



                85,99 ₽
              



                79,52 ₽
              



                73,04 ₽
              



                66,57 ₽
              



                60,10 ₽
              



14
Свыше 35,0 до 37,5


                97,10 ₽
              



                90,30 ₽
              



                83,51 ₽
              



                76,71 ₽
              



                69,91 ₽
              



                63,12 ₽
              



15
Свыше 37,5 до 40,0


                101,75 ₽
              



                94,63 ₽
              



                87,51 ₽
              



                80,38 ₽
              



                73,26 ₽
              



                66,14 ₽
              



16
Свыше 40,0 до 42,5


                106,39 ₽
              



                98,94 ₽
              



                91,50 ₽
              



                84,05 ₽
              



                76,60 ₽
              



                69,15 ₽
              



17
Свыше 42,5 до 45,0


                111,04 ₽
              



                103,27 ₽
              



                95,49 ₽
              



                87,72 ₽
              



                79,95 ₽
              



                72,18 ₽
              



18
Свыше 45,0 до 47,5


                115,68 ₽
              



                107,58 ₽
              



                99,48 ₽
              



                91,39 ₽
              



                83,29 ₽
              



                75,19 ₽
              



19
Свыше 47,5 до 50,0


                120,32 ₽
              



                111,90 ₽
              



                103,48 ₽
              



                95,05 ₽
              



                86,63 ₽
              



                78,21 ₽
              



20
Свыше 50,0 до 52,5


                124,96 ₽
              



                116,21 ₽
              



                107,47 ₽
              



                98,72 ₽
              



                89,97 ₽
              



                81,22 ₽
              



21
Свыше 52,5 до 55,0


                129,60 ₽
              



                120,53 ₽
              



                111,46 ₽
              



                102,38 ₽
              



                93,31 ₽
              



                84,24 ₽
              



22
Свыше 55,0 до 57,5


                134,24 ₽
              



                124,84 ₽
              



                115,45 ₽
              



                106,05 ₽
              



                96,65 ₽
              



                87,26 ₽
              



23
Свыше 57,5 до 60,0


                138,89 ₽
              



                129,17 ₽
              



                119,45 ₽
              



                109,72 ₽
              



                100,00 ₽
              



                90,28 ₽
              



24
Свыше 60,0 до 62,5


                143,55 ₽
              



                133,50 ₽
              



                123,45 ₽
              



                113,40 ₽
              



                103,36 ₽
              



                93,31 ₽
              



25
Свыше 62,5 до 65,0


                148,19 ₽
              



                137,82 ₽
              



                127,44 ₽
              



                117,07 ₽
              



                106,70 ₽
              



                96,32 ₽
              



26
Свыше 65,0 до 67,5


                152,83 ₽
              



                142,13 ₽
              



                131,43 ₽
              



                120,74 ₽
              



                110,04 ₽
              



                99,34 ₽
              



27
Свыше 67,5 до 70,0


                157,47 ₽
              



                146,45 ₽
              



                135,42 ₽
              



                124,40 ₽
              



                113,38 ₽
              



                102,36 ₽
              



28
Свыше 70,0 до 72,5


                162,11 ₽
              



                150,76 ₽
              



                139,41 ₽
              



                128,07 ₽
              



                116,72 ₽
              



                105,37 ₽
              



29
Свыше 72,5 до 75,0


                166,75 ₽
              



                155,08 ₽
              



                143,41 ₽
              



                131,73 ₽
              



                120,06 ₽
              



                108,39 ₽
              



30
Свыше 75,0 до 77,5


                171,40 ₽
              



                159,40 ₽
              



                147,40 ₽
              



                135,41 ₽
              



                123,41 ₽
              



                111,41 ₽
              



31
Свыше 77,5 до 80,0


                176,05 ₽
              



                163,73 ₽
              



                151,40 ₽
              



                139,08 ₽
              



                126,76 ₽
              



                114,43 ₽
              



32
Свыше 80,0 до 82,5


                180,69 ₽
              



                168,04 ₽
              



                155,39 ₽
              



                142,75 ₽
              



                130,10 ₽
              



                117,45 ₽
              



33
Свыше 82,5


                185,33 ₽
              



                172,36 ₽
              



                159,38 ₽
              



                146,41 ₽
              



                133,44 ₽
              



                120,46 ₽
              





"
"
Каким образом карта «Тройка» выбирает, с какого тарифа или билета списывать стоимость проезда? 
","
Если на карту записан проездной билет, то сначала всегда срабатывает билет.
Если на карте «Тройка» не записан билет, то карта выбирает тариф автоматически, например, при проезде на метро, монорельсе и МЦК спишется 50 ₽, на наземном городском транспорте – 50 ₽. Если один проход на метро и неограниченное количество проходов на наземном транспорте уложились в 90 минут, с карты спишется всего 75 ₽.
"
"
Можно записать одновременно несколько проездных? Как они будут списываться с карты? 
","

    На транспортной карте «Тройка» или иных носителях, имеющих транспортное приложение, одновременно может быть записано не более двух проездных билетов ТАТ, не более двух Единых проездных билетов, один проездной билет «Кошелек».


    При одновременной записи билетов ТАТ и Единых проездных билетов, для проезда в наземном городском пассажирском транспорте действует билет ТАТ, для проезда в метрополитене действует Единый проездной билет. По окончании срока действия/количества поездок билета ТАТ для проезда в наземном городском пассажирском транспорте действует Единый проездной билет.


    Записывать новый Единый проездной билет без лимита поездок на 30, 90, 365 дней можно не только после окончания срока действия, ранее записанного Единого проездного билета без лимита поездок на 30, 90, 365 дней, но и в течение последних 10 дней его действия. Срок действия нового Единого проездного билета без лимита поездок начинает исчисляться после окончания срока действия первого Единого проездного билета с момента прохода, либо на 11 день с момента продажи.


    Записывать новый Единый проездной билет без лимита поездок на 30, 90, 365 дней, при наличии ранее записанного Единого проездного билета с лимитом поездок, можно в течение последних 10 дней его действия. Срок действия второго Единого проездного билета без лимита поездок начинает исчисляться после окончания срока действия/количества поездок первого Единого проездного билета с момента прохода, либо на 11 день с момента продажи.

 Записывать новый Единый проездной билет с лимитом поездок при наличии ранее записанного Единого проездного билета с лимитом поездок, можно в любой момент, но срок его действия начинает исчисляться с даты записи, включая день продажи. Списание поездок со второго Единого проездного билета с лимитом поездок начинается после окончания срока действия/количества поездок первого Единого проездного билета.
 Записывать новый Единый проездной билет с лимитом поездок, при наличии ранее записанного Единого проездного билета без лимита поездок на 30, 90, 365 дней, можно в любой момент. Срок его действия начинает исчисляться с даты записи, включая день продажи, списание поездок со второго Единого проездного билета с лимитом поездок начинается после окончания срока действия первого Единого проездного билета.
 Проездной билет «Кошелек» начинает действовать только после окончания срока действия/количества поездок Единых проездных билетов и билетов ТАТ, записанных на транспортной карте «Тройка» или иных билетных носителях, имеющих транспортное приложение.
 Абонементы на пригородные электропоезда можно комбинировать с любым видом билетов на городской транспорт города Москвы.
"
"
Откуда будут списываться средства в первую очередь: с билета или денежных средств (фиксированного тарифа), записанных на карту «Тройка»? 
","
Если на карту «записан» проездной билет, то сначала всегда срабатывает билет.
Если на карте «Тройка» не «записан» билет, то карта выбирает тариф автоматически, например, при проезде на метро, монорельсе и МЦК спишется 50 ₽, на наземном городском транспорте  - 50 ₽, если  один проход на метро и неограниченное количество проходов на наземном транспорте уложились в 90 минут, с карты спишется всего 75 ₽
По окончании действия проездного карта вновь будет работать по фиксированным тарифам билета «Кошелек» карты «Тройка» при наличии достаточного количества средств на балансе.
Если на карту «Тройка» записан «Единый», то при проезде на наземном транспорте спишется одна поездка с вашего проездного «Единый»,  а не 50 ₽ с тарифа  за поездку на наземном транспорте.
Если у Вас записаны одновременно «Единый» и ТАТ, в наземном транспорте всегда сработает сначала ТАТ, в метро –сначала «Единый».
Если нет записанного ТАТ, то списываются поездки с билета «Единый». Если карта не находит ни одного записанного билета, то она проверяет наличие денег на балансе билета Кошелек» карты и списывает средства по фиксированным тарифам карты «Тройка» за 1 поездку (1 поездка на ТАТ – 50 ₽).
"
"
Где можно проверить остаток баланса по карте? 
","
Для проверки остатка денежных средств на балансе карты «Тройка», срока действия записанных на «Тройку» проездных билетов или количества неизрасходованных поездок на записанных на карте «Тройка» проездных билетах «Единый» требуется приложить карту «Тройка» к желтым информационным терминалам, расположенным в вестибюлях станций метрополитена и монорельсовой транспортной системы. Для проверки необходимо поднести «Тройку» к кругу, информация высветится на экране терминала.

Проверить записанные абонементы на пригородные поезда можно в кассах ЦППК, МТППК и билетопечатающих автоматах. Контролер электропоезда может проверить записанный на «Тройку» абонемент на переносном кассовом терминале.
"
"
Что делать при потере карты «Тройка»? 
","

Утраченные и неперсонализированные карты «Тройка» не восстанавливаются (кроме билетов на именных социальных картах школьника, студента и универсальной электронной карте).
Виртуальную «Тройку» нельзя перенести на другое мобильное устройство или пополнить из-за санкций в отношении банка ВТБ. 
Если виртуальная «Тройка» не работает, обратитесь в сервис-окна на станциях БКЛ «Кунцевская» (выход 3),  «Проспект Вернадского» (выход 8-9) и «Савёловская» (выход 6-7) или в сервисные центры «Московский транспорт» для переноса билета на физический носитель. 
Вы всегда можете персонализировать свою карту «Тройка». О том, как это сделать, можно узнать здесь.
Для юридических лиц:
1. В случае утери «Тройки» с записанным на неё проездным билетом уполномоченному лицу корпоративного клиента нужно обратиться в сервисные окна на станциях БКЛ «Савёловская» и «Проспект Вернадского» или в сервисные центры «Московский транспорт»:

Адреса сервисных центров «Московский транспорт»:
* ул. 1905 года, д. 25 (ст. м. «Улица 1905 года», далее пешком 10 минут);
* ул. Старая Басманная, д. 20, корп. 1 (ст. м. «Бауманская», «Курская» или «Красные Ворота»).

Часы работы сервис-окон на «Савёловской» и «Проспекте Вернадского» БКЛ и сервисных центров: ежедневно с 8:00 до 20:00.
Выходные дни: 1 января, 7 января, 23 февраля, 8 марта, 1 мая, 9 мая, 12 июня, 4 ноября.
Контакт-центр «Московский транспорт»: +7 (495) 539-54-54 и 3210 (моб.).
2. Понадобятся следующие документы:
* заверенная копия расходной накладной на получение поездных билетов по договору/контракту с корпоративным клиентом;
* доверенность по форме М-2 для уполномоченного лица корпоративного клиента;
* документ, подтверждающий личность уполномоченного лица (паспорт)

"
"
Можно ли провести спутника по карте «Тройка»? 
","
В соответствии с транспортным законодательством Российской Федерации, каждый пассажир должен иметь свой билет. Штраф за безбилетный проезд составляет 1000 ₽ и налагается даже в том случае, если проезд пассажира был оплачен другим пассажиром по собственной карте или билету.
Для предотвращения правонарушений и в качестве дополнительного напоминания пассажирам о правилах проезда существуют задержки последующего прохода.
Для безлимитных билетов (на количество дней) действует задержка второго прохода – время, на которое валидатор не срабатывает после первого прохода. Задержка второго прохода в метрополитене по безлимитным проездным на 30, 90 и 365 дней – 7 минут, по «Единому» на 1 сутки и 3 суток – 20 минут.
"
"
Что такое задержка второго прохода и сколько по времени она составляет в разных видах транспорта? 
","
Задержка прохода  это время, на которое турникет не открывается после первого прохода.

Это сделано, что бы соблюсти транспортное законодательство и не допустить злоупотреблений при проходе.

Проездной билет «Кошелек» и Единые проездные билеты 

на 1, 2, 60 поездок не имеют интервала задержки для повторного прохода.

Единые проездные билеты без лимита поездок на 1, 3 суток имеют 20-минутный интервал задержки для повторного прохода.

Единые проездные билеты без лимита поездок на 30, 90, 365 дней имеют 7-минутный интервал задержки для повторного прохода.

Все социальные карты, кроме социальных карт для инвалидов I группы (III степени ограничения трудоспособности) и детей инвалидов в возрасте 

до 18 лет, ВЕСБ и временные билеты имеют 7-минутный интервал задержки для повторного прохода.

В наземном общественном транспорте установлены задержки по билетам «ТАТ» и «Единый» без лимита поездок, «Кошелек» карты «Тройка», по билетам с лимитом поездок  «ТАТ» и «Единый» задержек нет.
"
"
Где проверить, сколько поездок на билете осталось, срок действия билета? 
","
Проверить количество неизрасходованных поездок на записанных на карту «Тройка» билетах ТАТ можно при входе в салон транспортного средства: остаток поездок отображается при каждом проходе через валидатор.
Проверить количество неизрасходованных поездок по билетам, записанным на карту «Тройка»:

на наземный транспорт — при входе в салон транспортного средства: остаток поездок отображается при каждом проходе через валидатор;
в метро, МЦК, монорельсе — при проходе через турникет, на информационных терминалах расположенных в вестибюлях станций;
на МЦД — при проходе через турникет железнодорожной станции

"
